Blooket Import Template,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,
1,What is the null hypothesis in a test for the slope of a regression line?,β = 0,β > 0,β < 0,β ≠ 0,30,1,,,,,,,,,,,,,,,
2,What is the formula for the t-statistic in a slope test?,(b - β₀)/SE_b,(β₀ - b)/SE_b,b/SE_b,β₀/SE_b,30,1,,,,,,,,,,,,,,,
3,"For a sample size of 11, what are the degrees of freedom in a slope test?",9,10,11,12,30,1,,,,,,,,,,,,,,,
4,How is the p-value calculated in a one-sided slope test?,P(t ≥ observed t),P(t ≤ observed t),2*P(t ≥ |observed t|),P(t = observed t),30,1,,,,,,,,,,,,,,,
5,What does a positive sample slope suggest about the relationship?,Evidence for Ha,Evidence for H0,No relationship,Negative relationship,30,1,,,,,,,,,,,,,,,
6,"When using computer output for a one-sided test, what should you do with",Halve the two-tailed p-value,Double the one-tailed p-value,Use p-value directly,Subtract from 1,30,1,,,,,,,,,,,,,,,
7,"For a two-sided test with t=8.49 and df=23, the p-value is:",2*P(t ≥ 8.49),P(t ≥ 8.49),P(t ≤ 8.49),2*P(t ≤ 8.49),30,1,,,,,,,,,,,,,,,
8,What does a t-statistic of 9.18 suggest about H₀?,Strong evidence against,Weak evidence against,Supports H₀,Inconclusive,30,1,,,,,,,,,,,,,,,
9,"In the drink spill study, the slope represents:",ML spill per mph increase,MPH per ml spilled,Base spill amount,Random variation,30,1,,,,,,,,,,,,,,,
10,"When computer output shows a two-sided p-value of 7.26e-6, the one-sided value is:",3.63e-6,7.26e-6,1.45e-5,0.0005,30,1,,,,,,,,,,,,,,,
11,"For n=25 data points, slope test df equals:",23,24,25,26,30,1,,,,,,,,,,,,,,,
12,Which distribution is used for slope tests?,t with n-2 df,z with n-1 df,χ² with n-2 df,"F with 1,n df",30,1,,,,,,,,,,,,,,,
13,What is the correct null hypothesis for testing a regression slope?,β = 0,β > 0,β < 0,β ≠ 0,30,1,,,,,,,,,,,,,,,
